

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 paillier.py:73(e_add)
       50    0.000    0.000    0.000    0.000 paillier.py:81(e_mul_const)
       50    0.000    0.000    0.005    0.000 paillier.py:85(decrypt)
    44392    0.540    0.000    4.112    0.000 primes.py:23(rabin_miller_witness)
      218    0.000    0.000    0.001    0.000 primes.py:31(default_k)
     7758    0.057    0.000    4.257    0.001 primes.py:34(is_probably_prime)
  4827490    3.572    0.000    3.572    0.000 primes.py:4(ipow)
      218    0.014    0.000    4.286    0.020 primes.py:50(generate_prime)
    52300    0.037    0.000    0.056    0.000 random.py:238(_randbelow_with_getrandbits)
    52300    0.047    0.000    0.103    0.000 random.py:291(randrange)
      150    0.000    0.000    0.001    0.000 random.py:335(randint)
      218    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      250    0.014    0.000    0.014    0.000 {built-in method builtins.pow}
      118    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      118    0.001    0.000    0.001    0.000 {built-in method math.log}
       50    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
    52300    0.006    0.000    0.006    0.000 {method 'bit_length' of 'int' objects}
       50    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    71914    0.014    0.000    0.014    0.000 {method 'getrandbits' of '_random.Random' objects}


